date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:03	63222/63222	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:02%20GMT	https://phulpur-connect.lovable.app/	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/index.html	(from )
00:07:03	6869/6869	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Apr%202026%2018:07:02%20GMT	https://phulpur-connect.lovable.app/robots.txt		(from )
00:07:05	181534/181534	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202026%2018:07:04%20GMT	https://phulpur-connect.lovable.app/assets/hero-phulpur-CtcTKnUK.jpg	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/hero-phulpur-CtcTKnUK.jpg	(from https://phulpur-connect.lovable.app/)
00:07:06	980470/980470	---M--	200	added ('OK')	image/png	etag:%2208eba6d3acb3b39f103dfc90ea4c55bf%22	https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/a9438123-4714-4c1e-8fa5-da3c86d44de0/id-preview-c9450d6e--af042bba-7b79-4c94-b575-6cd7e34ca976.lovable.app-1776706655467.png	C:/My%20Web%20Sites/x/pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/a9438123-4714-4c1e-8fa5-da3c86d44de0/id-preview-c9450d6e--af042bba-7b79-4c94-b575-6cd7e34ca976.lovable.app-1776706655467.png	(from https://phulpur-connect.lovable.app/)
00:07:09	336642/336642	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:08%20GMT	https://phulpur-connect.lovable.app/assets/index-BZOZY0bm.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/index-BZOZY0bm.js	(from https://phulpur-connect.lovable.app/)
00:07:11	6468/6468	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:10%20GMT	https://phulpur-connect.lovable.app/assets/index-DqY7U-XN.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/index-DqY7U-XN.js	(from https://phulpur-connect.lovable.app/)
00:07:14	148/148	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:14%20GMT	https://phulpur-connect.lovable.app/assets/hero-mosque-IWczzbrU.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/hero-mosque-IWczzbrU.js	(from https://phulpur-connect.lovable.app/)
00:07:19	2244/2244	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:19%20GMT	https://phulpur-connect.lovable.app/assets/CategoryGrid-Bo1aaV4u.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/CategoryGrid-Bo1aaV4u.js	(from https://phulpur-connect.lovable.app/)
00:07:22	1457/1457	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:21%20GMT	https://phulpur-connect.lovable.app/assets/BusinessCard-DnQny3jX.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/BusinessCard-DnQny3jX.js	(from https://phulpur-connect.lovable.app/)
00:07:27	4978/4978	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:26%20GMT	https://phulpur-connect.lovable.app/assets/mock-DxxIvMzL.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/mock-DxxIvMzL.js	(from https://phulpur-connect.lovable.app/)
00:07:33	594/594	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:32%20GMT	https://phulpur-connect.lovable.app/assets/star-Bf00vFev.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/star-Bf00vFev.js	(from https://phulpur-connect.lovable.app/)
00:07:34	82468/82468	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Apr%202026%2018:07:34%20GMT	https://phulpur-connect.lovable.app/assets/styles-CfCjr2a9.css	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/styles-CfCjr2a9.css	(from https://phulpur-connect.lovable.app/)
00:07:38	21296/21296	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:07:37%20GMT	https://phulpur-connect.lovable.app/~flock.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/_flock.js	(from https://phulpur-connect.lovable.app/)
00:07:39	39948/39948	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:39%20GMT	https://phulpur-connect.lovable.app/services	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/services.html	(from https://phulpur-connect.lovable.app/)
00:07:41	27928/27928	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:41%20GMT	https://phulpur-connect.lovable.app/news	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/news.html	(from https://phulpur-connect.lovable.app/)
00:07:44	36789/36789	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:44%20GMT	https://phulpur-connect.lovable.app/jobs	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/jobs.html	(from https://phulpur-connect.lovable.app/)
00:07:47	27023/27023	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:46%20GMT	https://phulpur-connect.lovable.app/contact	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/contact.html	(from https://phulpur-connect.lovable.app/)
00:07:50	112579/112579	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202026%2018:07:50%20GMT	https://phulpur-connect.lovable.app/assets/hero-mosque-BXhB9nfA.jpg	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/hero-mosque-BXhB9nfA.jpg	(from https://phulpur-connect.lovable.app/)
00:07:53	228185/228185	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202026%2018:07:52%20GMT	https://phulpur-connect.lovable.app/assets/hero-bazaar-CoP7fegR.jpg	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/hero-bazaar-CoP7fegR.jpg	(from https://phulpur-connect.lovable.app/)
00:07:56	26093/26093	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:56%20GMT	https://phulpur-connect.lovable.app/add-business	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/add-business.html	(from https://phulpur-connect.lovable.app/)
00:08:00	37227/37227	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202026%2018:07:59%20GMT	https://phulpur-connect.lovable.app/business	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/business.html	(from https://phulpur-connect.lovable.app/)
00:08:03	2112/2112	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:03%20GMT	https://phulpur-connect.lovable.app/assets/services-D3E31Tg8.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/services-D3E31Tg8.js	(from https://phulpur-connect.lovable.app/services)
00:08:06	1709/1709	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:05%20GMT	https://phulpur-connect.lovable.app/assets/news-Db6N9h0W.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/news-Db6N9h0W.js	(from https://phulpur-connect.lovable.app/news)
00:08:09	2098/2098	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:08%20GMT	https://phulpur-connect.lovable.app/assets/jobs-CHFXOJ7T.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/jobs-CHFXOJ7T.js	(from https://phulpur-connect.lovable.app/jobs)
00:08:11	3035/3035	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:10%20GMT	https://phulpur-connect.lovable.app/assets/contact-BvWHl49G.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/contact-BvWHl49G.js	(from https://phulpur-connect.lovable.app/contact)
00:08:13	4287/4287	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:12%20GMT	https://phulpur-connect.lovable.app/assets/add-business-CkYX7kDJ.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/add-business-CkYX7kDJ.js	(from https://phulpur-connect.lovable.app/add-business)
00:08:14	4211/4211	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2018:08:14%20GMT	https://phulpur-connect.lovable.app/assets/business-BYv9w-h4.js	C:/My%20Web%20Sites/x/phulpur-connect.lovable.app/assets/business-BYv9w-h4.js	(from https://phulpur-connect.lovable.app/business)
